stop_lat,stop_code,stop_lon,stop_id,stop_name,location_type,zone_id
45.5376121851,11120,-73.8886389813,DMO3A,gare Grand-Moulin,0,5
45.3989996709,11310,-74.0505567791,VAU8B,gare Vaudreuil,0,5
45.3989996709,11310,-74.0505567791,VAU8D,gare Vaudreuil,0,5
45.4737620423,11160,-73.6030995912,MTL2A,gare Vendôme,0,1
45.4486782578,11180,-73.711323749,LCH1B,gare Lachine,0,1
45.5402419365,11360,-73.6769009374,MTL7D,gare Bois-de-Boulogne,0,2
45.395922831,11280,-73.9654246608,LIP1B,gare Île-Perrot,0,4
45.395922831,11280,-73.9654246608,LIP1D,gare Île-Perrot,0,4
45.5402419365,11360,-73.6769009374,MTL7B,gare Bois-de-Boulogne,0,2
45.4472468979,11220,-73.8034394321,PCL2B,gare Pointe-Claire,0,2
45.7731786029,11430,-73.9991165741,SJM1C,gare Saint-Jérôme,0,7
45.7731786029,11430,-73.9991165741,SJM1A,gare Saint-Jérôme,0,7
45.4472468979,11220,-73.8034394321,PCL2D,gare Pointe-Claire,0,2
45.5232970795,11470,-73.3059218339,SBA2D,gare Saint-Basile-le-Grand,0,5
45.3863907208,11300,-74.0082543463,VAU1B,gare Dorion,0,5
45.6360297746,11400,-73.8335478331,STR4B,gare Sainte-Thérèse,0,5
45.3863907208,11300,-74.0082543463,VAU1D,gare Dorion,0,5
45.5234974325,11110,-73.862888188,LVL2A,gare Sainte-Dorothée,0,3
45.5234974325,11110,-73.862888188,LVL2C,gare Sainte-Dorothée,0,3
